url_length,domain_length,subdomain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_special_chars,num_sensitive_words,has_@,has_https,has_ip,has_suspicious_tld,is_shortened,label
43,6,0,34,1,0,0,2,0,0,0,0,0,0,0,0,0
12,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
23,12,0,11,4,0,0,1,11,0,0,0,0,1,0,0,1
70,21,5,39,2,2,0,4,0,0,0,0,0,0,0,0,1
22,6,0,12,2,0,0,1,0,0,0,0,0,0,0,0,1
79,12,0,10,3,0,1,1,6,8,0,0,0,0,0,0,1
114,7,0,84,2,11,1,4,5,2,0,0,0,0,0,0,0
30,9,0,18,2,0,0,2,0,0,2,0,0,0,0,0,1
58,15,0,39,1,3,0,2,0,0,0,0,0,0,0,0,0
92,19,0,69,1,4,0,6,16,2,0,0,0,0,0,0,0
62,13,0,17,2,0,2,1,9,4,0,0,0,0,0,0,0
136,10,0,10,2,10,1,1,20,10,0,0,0,0,0,0,1
144,12,21,54,4,6,3,6,13,4,2,0,0,0,0,0,1
92,3,0,85,1,11,0,3,6,0,0,0,0,0,0,0,0
142,9,0,129,2,5,2,11,6,2,5,0,1,0,0,0,1
84,15,0,65,2,1,0,4,23,0,0,0,0,0,0,0,1
52,9,10,28,3,1,0,2,0,3,0,0,0,0,0,0,0
50,11,0,35,2,3,0,2,0,0,0,0,0,0,0,0,0
106,14,0,92,3,0,0,2,11,0,1,0,1,1,0,0,1
49,14,0,9,2,0,0,1,3,8,0,0,0,0,0,0,0
29,13,0,12,2,0,0,2,0,0,0,0,0,0,0,0,0
19,7,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0
82,10,0,10,2,0,1,1,7,8,0,0,0,0,0,0,1
30,11,5,9,2,0,0,1,0,0,0,0,0,0,0,0,0
16,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
52,16,0,33,2,1,0,3,0,0,0,0,0,0,0,0,1
37,20,0,11,3,1,1,1,1,0,0,0,0,0,0,0,0
41,26,0,11,2,0,0,1,0,0,0,0,0,0,0,0,1
16,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
87,3,0,81,1,9,0,4,11,0,0,0,0,0,0,0,1
17,7,0,6,2,0,0,1,0,0,0,0,0,0,0,0,1
37,10,0,24,2,2,0,1,0,0,0,0,0,0,0,0,1
158,15,0,96,6,2,3,8,7,2,1,0,1,0,0,0,1
23,4,0,15,1,0,0,2,7,0,0,0,0,0,0,0,0
47,16,0,19,2,0,0,3,0,2,1,0,0,0,0,0,1
76,7,0,65,1,8,0,4,8,0,0,0,0,0,0,0,0
26,3,2,16,2,0,1,2,0,0,0,0,0,0,0,0,0
7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
68,16,0,45,6,0,0,4,0,0,1,0,0,0,0,0,0
73,10,4,54,2,1,0,5,0,0,0,0,0,0,0,0,1
135,12,0,119,5,0,0,10,19,0,0,0,0,0,0,0,1
64,10,0,15,3,0,1,2,2,4,0,0,0,0,0,0,1
63,14,0,45,2,4,0,1,14,0,0,0,0,0,0,0,0
27,4,5,13,2,0,0,2,4,0,0,0,0,0,0,0,1
48,11,7,11,3,0,0,1,6,2,0,0,0,0,0,0,0
117,13,4,10,6,1,0,1,6,19,2,0,1,0,1,0,0
26,9,0,13,1,0,0,2,0,0,0,0,0,0,0,0,1
99,16,0,79,3,0,0,5,23,0,0,0,0,0,0,0,1
